Block,Treatment,Rep,Nymphal Instar,Development Time (days),Total Development (days)
2,LB,3,N5d,5,15
2,LB,4,N1d,1,15
2,LB,4,N2d,2,15
2,LB,4,N3d,4,15
2,LB,4,N4d,3,15
2,LB,4,N5d,5,15
2,LB,5,N1d,1,15
2,LB,5,N2d,2,15
2,LB,5,N3d,4,15
2,LB,5,N4d,1,15
2,LB,5,N5d,7,15
2,LR,1,N1d,1,17
2,LR,1,N2d,3,17
2,LR,1,N3d,3,17
2,LR,1,N4d,3,17
2,LR,1,N5d,7,17
2,LR,2,N1d,1,18
2,LR,2,N2d,6,18
2,LR,2,N3d,6,18
2,LR,2,N4d,2,18
2,LR,2,N5d,3,18
2,LR,3,N1d,1,18
2,LR,3,N2d,3,18
2,LR,3,N3d,4,18
2,LR,3,N4d,3,18
2,LR,3,N5d,7,18
2,LR,4,N1d,1,17
2,LR,4,N2d,3,17
2,LR,4,N3d,2,17
2,LR,4,N4d,5,17
2,LR,4,N5d,6,17
2,HB,1,N1d,2,16
2,HB,1,N2d,1,16
2,HB,1,N3d,2,16
2,HB,1,N4d,3,16
2,HB,1,N5d,8,16
2,HB,2,N1d,1,15
2,HB,2,N2d,3,15
2,HB,2,N3d,2,15
2,HB,2,N4d,3,15
2,HB,2,N5d,6,15
2,HB,3,N1d,1,18
2,HB,3,N2d,2,18
2,HB,3,N3d,4,18
2,HB,3,N4d,1,18
2,HB,3,N5d,10,18
2,HB,4,N1d,2,18
2,HB,4,N2d,3,18
2,HB,4,N3d,2,18
2,HB,4,N4d,5,18
2,HB,4,N5d,6,18
2,HR,1,N1d,2,16
2,HR,1,N2d,2,16
2,HR,1,N3d,4,16
2,HR,1,N4d,2,16
2,HR,1,N5d,6,16
2,HR,2,N1d,2,16
2,HR,2,N2d,1,16
2,HR,2,N3d,2,16
2,HR,2,N4d,3,16
2,HR,2,N5d,8,16
2,HR,3,N1d,1,21
2,HR,3,N2d,2,21
2,HR,3,N3d,3,21
2,HR,3,N4d,6,21
2,HR,3,N5d,9,21
2,HR,4,N1d,2,15
2,HR,4,N2d,2,15
2,HR,4,N3d,4,15
2,HR,4,N4d,2,15
2,HR,4,N5d,5,15
2,W,1,N1d,2,19
2,W,1,N2d,2,19
2,W,1,N3d,2,19
2,W,1,N4d,3,19
2,W,1,N5d,10,19
2,W,2,N1d,1,15
2,W,2,N2d,3,15
2,W,2,N3d,2,15
2,W,2,N4d,3,15
2,W,2,N5d,6,15
2,W,3,N1d,1,16
2,W,3,N2d,3,16
2,W,3,N3d,2,16
2,W,3,N4d,4,16
2,W,3,N5d,6,16
2,W,4,N1d,2,15
2,W,4,N2d,2,15
2,W,4,N3d,2,15
2,W,4,N4d,3,15
2,W,4,N5d,6,15
2,W,5,N1d,1,15
2,W,5,N2d,2,15
2,W,5,N3d,2,15
2,W,5,N4d,3,15
2,W,5,N5d,7,15
2,W,6,N1d,1,19
2,W,6,N2d,2,19
2,W,6,N3d,3,19
2,W,6,N4d,3,19
2,W,6,N5d,10,19
2,W,7,N1d,1,16
2,W,7,N2d,2,16
2,W,7,N3d,2,16
2,W,7,N4d,3,16
2,W,7,N5d,8,16
2,S,1,N1d,0.5,6
2,S,1,N2d,0.5,6
2,S,1,N3d,2,6
2,S,1,N4d,1,6
2,S,1,N5d,2,6
2,S,2,N1d,1,7
2,S,2,N2d,1,7
2,S,2,N3d,2,7
2,S,2,N4d,1,7
2,S,2,N5d,2,7
2,S,3,N1d,1,9
2,S,3,N2d,1,9
2,S,3,N3d,3,9
2,S,3,N4d,1,9
2,S,3,N5d,3,9
2,S,4,N1d,1,8
2,S,4,N2d,1.5,8
2,S,4,N3d,1.5,8
2,S,4,N4d,3,8
2,S,4,N5d,1,8
2,S,5,N1d,1,8
2,S,5,N2d,1.5,8
2,S,5,N3d,1.5,8
2,S,5,N4d,3,8
2,S,5,N5d,1,8
2,S,6,N1d,1,8
2,S,6,N2d,1.5,8
2,S,6,N3d,1.5,8
2,S,6,N4d,3,8
2,S,6,N5d,1,8
2,S,7,N1d,1,7
2,S,7,N2d,1.5,7
2,S,7,N3d,1.5,7
2,S,7,N4d,2,7
2,S,7,N5d,1,7
2,S,8,N1d,1,9
2,S,8,N2d,1.5,9
2,S,8,N3d,1.5,9
2,S,8,N4d,4,9
2,S,8,N5d,1,9
2,S,9,N1d,1,8
2,S,9,N2d,1.5,8
2,S,9,N3d,1.5,8
2,S,9,N4d,2,8
2,S,9,N5d,2,8
2,S,10,N1d,1,8
2,S,10,N2d,1.5,8
2,S,10,N3d,1.5,8
2,S,10,N4d,2,8
2,S,10,N5d,2,8
2,S,11,N1d,1,7
2,S,11,N2d,1,7
2,S,11,N3d,2,7
2,S,11,N4d,1,7
2,S,11,N5d,2,7
2,S,12,N1d,1,8
2,S,12,N2d,2,8
2,S,12,N3d,1,8
2,S,12,N4d,1,8
2,S,12,N5d,3,8
2,S,13,N1d,1,7
2,S,13,N2d,1,7
2,S,13,N3d,2,7
2,S,13,N4d,1,7
2,S,13,N5d,2,7
2,HPS,1,N1d,2,17
2,HPS,1,N2d,1,17
2,HPS,1,N3d,2,17
2,HPS,1,N4d,6,17
2,HPS,1,N5d,6,17
2,HPS,2,N1d,1,13
2,HPS,2,N2d,2,13
2,HPS,2,N3d,3,13
2,HPS,2,N4d,2,13
2,HPS,2,N5d,5,13
2,HPS,3,N1d,1,15
2,HPS,3,N2d,2,15
2,HPS,3,N3d,3,15
2,HPS,3,N4d,2,15
2,HPS,3,N5d,7,15
